id,batch,section,category,qa1,qa2,qa3,qa4,qa5,qa6,qa7,contentEligibleIgnoringInfrastructureFailures
"GR-A1-RE-01","PILOT-1","reading","information_search","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"GR-A1-RE-02","PILOT-1","reading","information_search","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","PASS","false"
"GR-A1-RE-03","PILOT-1","reading","information_search","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","PASS","false"
"GR-A1-RE-04","PILOT-1","reading","content_comprehension","REVIEW","PASS","PASS","REVIEW","FAIL","REVIEW","REVIEW","false"
"GR-A1-RE-05","PILOT-1","reading","content_comprehension","REVIEW","PASS","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"GR-A1-RE-06","PILOT-1","reading","information_search","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","PASS","false"
"GR-A1-RE-07","PILOT-1","reading","information_search","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","PASS","false"
"GR-A1-RE-08","PILOT-1","reading","information_search","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","REVIEW","false"
"GR-A1-RE-09","PILOT-1","reading","content_comprehension","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"GR-A1-RE-10","PILOT-1","reading","information_search","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","REVIEW","false"
"GR2-A1-SV-01","PILOT-2","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"GR2-A1-SV-02","PILOT-2","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"GR2-A1-SV-03","PILOT-2","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"GR2-A1-SV-04","PILOT-2","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"GR2-A1-SV-05","PILOT-2","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"GR2-A1-SV-06","PILOT-2","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"GR2-A1-SV-07","PILOT-2","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"GR2-A1-SV-08","PILOT-2","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"GR2-A1-SV-09","PILOT-2","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"GR2-A1-SV-10","PILOT-2","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"GR2-A1-CE-01","PILOT-2","conversation_expression","grammar","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","REVIEW","false"
"GR2-A1-CE-02","PILOT-2","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","REVIEW","false"
"GR2-A1-CE-03","PILOT-2","conversation_expression","grammar","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","REVIEW","false"
"GR2-A1-CE-04","PILOT-2","conversation_expression","grammar","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","REVIEW","false"
"GR2-A1-CE-05","PILOT-2","conversation_expression","grammar","REVIEW","FAIL","PASS","REVIEW","FAIL","PASS","REVIEW","false"
"GR2-A1-CE-06","PILOT-2","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","REVIEW","false"
"GR2-A1-CE-07","PILOT-2","conversation_expression","grammar","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","REVIEW","false"
"GR2-A1-CE-08","PILOT-2","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","REVIEW","false"
"GR2-A1-CE-09","PILOT-2","conversation_expression","grammar","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","FAIL","false"
"GR2-A1-CE-10","PILOT-2","conversation_expression","grammar","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","REVIEW","false"
"GR2-A1-LI-01","PILOT-2","listening","announcement_instruction","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"GR2-A1-LI-02","PILOT-2","listening","shop_public","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"GR2-A1-LI-03","PILOT-2","listening","conversation","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"GR2-A1-LI-04","PILOT-2","listening","announcement_instruction","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"GR2-A1-LI-05","PILOT-2","listening","announcement_instruction","REVIEW","PASS","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"GR2-A1-LI-06","PILOT-2","listening","shop_public","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"GR2-A1-LI-07","PILOT-2","listening","conversation","FAIL","FAIL","PASS","REVIEW","REVIEW","FAIL","REVIEW","false"
"GR2-A1-LI-08","PILOT-2","listening","conversation","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"GR2-A1-LI-09","PILOT-2","listening","shop_public","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"GR2-A1-LI-10","PILOT-2","listening","conversation","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"GR2-A1-RE-01","PILOT-2","reading","information_search","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"GR2-A1-RE-02","PILOT-2","reading","content_comprehension","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","PASS","false"
"GR2-A1-RE-03","PILOT-2","reading","information_search","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","PASS","false"
"GR2-A1-RE-04","PILOT-2","reading","content_comprehension","REVIEW","PASS","PASS","REVIEW","REVIEW","PASS","PASS","false"
"GR2-A1-RE-05","PILOT-2","reading","content_comprehension","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","REVIEW","false"
"GR2-A1-RE-06","PILOT-2","reading","information_search","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","PASS","false"
"GR2-A1-RE-07","PILOT-2","reading","content_comprehension","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","REVIEW","false"
"GR2-A1-RE-08","PILOT-2","reading","information_search","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","PASS","false"
"GR2-A1-RE-09","PILOT-2","reading","information_search","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","REVIEW","false"
"GR2-A1-RE-10","PILOT-2","reading","content_comprehension","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","REVIEW","false"
"A1-CB001-SV-01","001","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"A1-CB001-SV-02","001","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"A1-CB001-SV-03","001","script_vocabulary","word_usage","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"A1-CB001-SV-04","001","script_vocabulary","word_usage","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"A1-CB001-SV-05","001","script_vocabulary","word_meaning","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"A1-CB001-CE-01","001","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","REVIEW","false"
"A1-CB001-CE-02","001","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","REVIEW","false"
"A1-CB001-CE-03","001","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","PASS","false"
"A1-CB001-CE-04","001","conversation_expression","grammar","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","REVIEW","false"
"A1-CB001-CE-05","001","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","REVIEW","false"
"A1-CB001-LI-01","001","listening","announcement_instruction","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"A1-CB001-LI-02","001","listening","shop_public","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"A1-CB001-LI-03","001","listening","announcement_instruction","REVIEW","PASS","PASS","REVIEW","FAIL","REVIEW","REVIEW","false"
"A1-CB001-LI-04","001","listening","conversation","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"A1-CB001-LI-05","001","listening","announcement_instruction","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"A1-CB001-RE-01","001","reading","information_search","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","PASS","false"
"A1-CB001-RE-02","001","reading","content_comprehension","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","PASS","false"
"A1-CB001-RE-03","001","reading","information_search","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","PASS","false"
"A1-CB001-RE-04","001","reading","content_comprehension","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","PASS","false"
"A1-CB001-RE-05","001","reading","information_search","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","PASS","false"
"A1-CB002-SV-01","002","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"A1-CB002-SV-02","002","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"A1-CB002-SV-03","002","script_vocabulary","word_usage","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"A1-CB002-SV-04","002","script_vocabulary","word_usage","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"A1-CB002-SV-05","002","script_vocabulary","kanji_meaning_usage","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"A1-CB002-CE-01","002","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","REVIEW","false"
"A1-CB002-CE-02","002","conversation_expression","grammar","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","REVIEW","false"
"A1-CB002-CE-03","002","conversation_expression","grammar","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","REVIEW","false"
"A1-CB002-CE-04","002","conversation_expression","expression","REVIEW","FAIL","PASS","REVIEW","FAIL","PASS","REVIEW","false"
"A1-CB002-CE-05","002","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","REVIEW","false"
"A1-CB002-LI-01","002","listening","announcement_instruction","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"A1-CB002-LI-02","002","listening","shop_public","REVIEW","PASS","PASS","REVIEW","FAIL","REVIEW","REVIEW","false"
"A1-CB002-LI-03","002","listening","shop_public","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"A1-CB002-LI-04","002","listening","announcement_instruction","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"A1-CB002-LI-05","002","listening","announcement_instruction","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","REVIEW","false"
"A1-CB002-RE-01","002","reading","information_search","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","REVIEW","false"
"A1-CB002-RE-02","002","reading","information_search","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"A1-CB002-RE-03","002","reading","content_comprehension","REVIEW","PASS","PASS","REVIEW","REVIEW","REVIEW","PASS","false"
"A1-CB002-RE-04","002","reading","content_comprehension","REVIEW","PASS","PASS","REVIEW","FAIL","REVIEW","PASS","false"
"A1-CB002-RE-05","002","reading","information_search","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","REVIEW","false"
"A1-CB003-SV-01","003","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"A1-CB003-SV-02","003","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"A1-CB003-SV-03","003","script_vocabulary","word_usage","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"A1-CB003-SV-04","003","script_vocabulary","word_usage","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"A1-CB003-SV-05","003","script_vocabulary","kanji_meaning_usage","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"A1-CB003-CE-01","003","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","REVIEW","false"
"A1-CB003-CE-02","003","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","REVIEW","false"
"A1-CB003-CE-03","003","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","PASS","false"
"A1-CB003-CE-04","003","conversation_expression","grammar","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","REVIEW","false"
"A1-CB003-CE-05","003","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","REVIEW","false"
"A1-CB003-LI-01","003","listening","announcement_instruction","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"A1-CB003-LI-02","003","listening","shop_public","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"A1-CB003-LI-03","003","listening","shop_public","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","REVIEW","false"
"A1-CB003-LI-04","003","listening","announcement_instruction","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"A1-CB003-LI-05","003","listening","shop_public","REVIEW","PASS","PASS","REVIEW","FAIL","REVIEW","PASS","false"
"A1-CB003-RE-01","003","reading","information_search","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","PASS","false"
"A1-CB003-RE-02","003","reading","information_search","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","PASS","false"
"A1-CB003-RE-03","003","reading","information_search","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","REVIEW","false"
"A1-CB003-RE-04","003","reading","content_comprehension","REVIEW","PASS","PASS","REVIEW","REVIEW","REVIEW","PASS","false"
"A1-CB003-RE-05","003","reading","information_search","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","PASS","false"
"A1-CB004-SV-01","004","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"A1-CB004-SV-02","004","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"A1-CB004-SV-03","004","script_vocabulary","word_usage","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"A1-CB004-SV-04","004","script_vocabulary","word_usage","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"A1-CB004-SV-05","004","script_vocabulary","kanji_meaning_usage","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"A1-CB004-CE-01","004","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","REVIEW","false"
"A1-CB004-CE-02","004","conversation_expression","grammar","REVIEW","FAIL","PASS","REVIEW","FAIL","PASS","REVIEW","false"
"A1-CB004-CE-03","004","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","REVIEW","false"
"A1-CB004-CE-04","004","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","REVIEW","false"
"A1-CB004-CE-05","004","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","REVIEW","false"
"A1-CB004-LI-01","004","listening","shop_public","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"A1-CB004-LI-02","004","listening","announcement_instruction","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"A1-CB004-LI-03","004","listening","shop_public","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"A1-CB004-LI-04","004","listening","announcement_instruction","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"A1-CB004-LI-05","004","listening","conversation","REVIEW","PASS","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"A1-CB004-RE-01","004","reading","information_search","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"A1-CB004-RE-02","004","reading","content_comprehension","REVIEW","PASS","PASS","REVIEW","FAIL","REVIEW","PASS","false"
"A1-CB004-RE-03","004","reading","information_search","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","PASS","false"
"A1-CB004-RE-04","004","reading","information_search","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","PASS","false"
"A1-CB004-RE-05","004","reading","content_comprehension","REVIEW","PASS","PASS","REVIEW","FAIL","REVIEW","PASS","false"
"A1-CB005-SV-01","005","script_vocabulary","word_usage","FAIL","PASS","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"A1-CB005-SV-02","005","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","FAIL","false"
"A1-CB005-SV-03","005","script_vocabulary","kanji_meaning_usage","FAIL","PASS","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"A1-CB005-SV-04","005","script_vocabulary","word_meaning","FAIL","PASS","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"A1-CB005-SV-05","005","script_vocabulary","word_usage","FAIL","PASS","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"A1-CB005-CE-01","005","conversation_expression","grammar","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"A1-CB005-CE-02","005","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","REVIEW","false"
"A1-CB005-CE-03","005","conversation_expression","grammar","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","REVIEW","false"
"A1-CB005-CE-04","005","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","FAIL","false"
"A1-CB005-CE-05","005","conversation_expression","grammar","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","FAIL","false"
"A1-CB005-LI-01","005","listening","conversation","REVIEW","PASS","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"A1-CB005-LI-02","005","listening","shop_public","REVIEW","PASS","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"A1-CB005-LI-03","005","listening","announcement_instruction","FAIL","PASS","PASS","REVIEW","FAIL","REVIEW","FAIL","false"
"A1-CB005-LI-04","005","listening","conversation","REVIEW","PASS","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"A1-CB005-LI-05","005","listening","shop_public","FAIL","PASS","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"A1-CB005-RE-01","005","reading","content_comprehension","REVIEW","PASS","PASS","REVIEW","FAIL","REVIEW","PASS","false"
"A1-CB005-RE-02","005","reading","information_search","REVIEW","PASS","PASS","REVIEW","FAIL","PASS","FAIL","false"
"A1-CB005-RE-03","005","reading","content_comprehension","REVIEW","PASS","PASS","REVIEW","FAIL","REVIEW","REVIEW","false"
"A1-CB005-RE-04","005","reading","information_search","REVIEW","PASS","PASS","REVIEW","FAIL","PASS","FAIL","false"
"A1-CB005-RE-05","005","reading","content_comprehension","REVIEW","PASS","PASS","REVIEW","REVIEW","PASS","REVIEW","false"
"A1-CB006-SV-01","006","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"A1-CB006-SV-02","006","script_vocabulary","kanji_meaning_usage","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","REVIEW","false"
"A1-CB006-SV-03","006","script_vocabulary","word_meaning","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"A1-CB006-SV-04","006","script_vocabulary","word_usage","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","REVIEW","false"
"A1-CB006-SV-05","006","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","FAIL","false"
"A1-CB006-CE-01","006","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"A1-CB006-CE-02","006","conversation_expression","grammar","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","REVIEW","false"
"A1-CB006-CE-03","006","conversation_expression","expression","REVIEW","FAIL","PASS","REVIEW","REVIEW","PASS","REVIEW","false"
"A1-CB006-CE-04","006","conversation_expression","grammar","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","REVIEW","false"
"A1-CB006-CE-05","006","conversation_expression","expression","REVIEW","FAIL","PASS","REVIEW","REVIEW","REVIEW","PASS","false"
"A1-CB006-LI-01","006","listening","shop_public","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"A1-CB006-LI-02","006","listening","announcement_instruction","FAIL","PASS","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"A1-CB006-LI-03","006","listening","conversation","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"A1-CB006-LI-04","006","listening","shop_public","FAIL","PASS","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"A1-CB006-LI-05","006","listening","announcement_instruction","REVIEW","PASS","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"A1-CB006-RE-01","006","reading","information_search","REVIEW","PASS","PASS","REVIEW","FAIL","REVIEW","REVIEW","false"
"A1-CB006-RE-02","006","reading","content_comprehension","REVIEW","PASS","PASS","REVIEW","REVIEW","PASS","REVIEW","false"
"A1-CB006-RE-03","006","reading","information_search","REVIEW","PASS","PASS","REVIEW","FAIL","REVIEW","FAIL","false"
"A1-CB006-RE-04","006","reading","content_comprehension","REVIEW","PASS","PASS","REVIEW","REVIEW","PASS","PASS","false"
"A1-CB006-RE-05","006","reading","information_search","REVIEW","PASS","PASS","REVIEW","FAIL","PASS","REVIEW","false"
"A1-CB007-SV-01","007","script_vocabulary","kanji_meaning_usage","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","FAIL","false"
"A1-CB007-SV-02","007","script_vocabulary","word_meaning","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"A1-CB007-SV-03","007","script_vocabulary","word_usage","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","FAIL","false"
"A1-CB007-SV-04","007","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"A1-CB007-SV-05","007","script_vocabulary","kanji_meaning_usage","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","FAIL","false"
"A1-CB007-CE-01","007","conversation_expression","grammar","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","REVIEW","false"
"A1-CB007-CE-02","007","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","REVIEW","false"
"A1-CB007-CE-03","007","conversation_expression","grammar","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","REVIEW","false"
